,product_name_list,price_lst
284,سفن دايز - كيك بار بحشوة الفانيليا ١٢*٢٥غرام,6.0
285,سنكرس ميني - شوكولاتة مع الكراميل والفول السوداني ٢٧٥ غرام,12.0
286,بيب - حمص ٥٨٠ غرام,5.0
287,دو - دجاج مجمد ١٣٠٠ غرام,17.0
288,المراعي - عصير بنكهة المانجو والفواكه المشكلة ٢٠٠ مل,1.0
289,كي دي دي - عصير الأناناس ١٠٠% طبيعي ١٨٠ مل,1.0
290,أولكر - ويفر بالبندق ١٢*٤٠ غرام,12.0
291,برينجلز - رقائق البطاطس بنكهة الملح والخل ١٦٥غرام,9.0
292,نيدو - حليب مجفف مدعم ٤٠٠ غرام,18.0
293,منشيز - شوكولاتة بالحليب والكراميل و البسكويت المقرمش ٥٢ غرام,3.0
294,ليز - رقائق البطاطس بالملح والخل١٦٠ غرام,4.0
295,بينت بتر اند كو - زبدة فول سوداني ٤٥٤ غرام,22.0
296,إندومي - شعيرية مقلية حار ومبهر ٥*٨٥  غرام,6.0
297,ليز - رقائق البطاطس بالفلفل الحار ١٦٠ غرام,4.0
298,كلوقز - كورن فليكس ١ كغم,31.0
299,ليز فورنو - شرائح البطاطس بالفلفل الأسود ١٦٠ غرام,7.0
300,نسكافيه  جولد - قهوة  كابوتشينو سريعة التحضير غير محلاة  ١٠*١٤.٢ غرام,20.0
301,هناء - طماطم كاملة مقشرة ٤٠٠ غرام,2.0
302,تانيا - مياه معدنية ٢٠٠*٤٨ مل,17.0
303,سفن اب فري ٣٣٠ مل,2.0
304,تيفاني - ديلايت كوكيز برقائق الشوكولاتة ٤*١٠٠ غرام,8.0
305,نوتيلا - كريمة البندق و الكاكاو ٨٢٥ غرام,33.0
306,دو - دجاج مجمد ١٢٠٠ غرام,12.0
307,تسالي - رقائق بطاطس بطعم الكاتشب  ١٧٠ غرام,5.0
308,الكبير - فطيرة ساده ٤٠٠ غرام,6.0
309,أروى - مياه شرب ٦*١.٥ لتر,8.0
310,نستله - كونتري كورن فليكس ١ كغم,19.0
311,امريكانا - برجر بقري جامبو ١ كغم,28.0
312,فرشلي - توابل إيطالية ٣٤ غرام,6.0
313,النخلة - حلاوة طحينية فاخرة سادة ٢٥٠ غرام,9.0
314,الوزير - زيت زيتون بكر ممتاز ٥٠٠ مل,16.0
315,ليزماكس - رقائق البطاطس بجبنة تشيدار بالكريمة ١٧٠ غرام,5.0
316,جالكسي - كيك الشوكولاتة ٥*٣٠ غرام,12.0
317,قودي - مكرونة أكواع ٥٠٠ غرام,4.0
318,أبو قوس - حليب  مبخر ١٠*١٥ مل,4.0
319,فيتنس - رقائق مصنوعة من الحبوب الكاملة ٣٧٥ غرام + ٢٠٪ مجاناً,19.0
320,لوتس - بسكويت بالكراميل ٢٥٠ غرام,11.0
321,العلالي - نشاء الذرة  ٤٠٠ غرام,5.0
322,فرشلي - ذرة حب ٣*١٨٥ غرام,9.0
323,نسكافيه أربيانا - قهوة عربية سريعة التحضير بنكهة الهيل ٢٠*٣ غرام,26.0
324,ساديا - فيليه دجاج بالبقسماط ٤٨٠ غرام,9.0
325,فرشلي - خردل  أصفر ٢٦٦ مل,4.0
326,قودي - مكرونة لسان العصفور ٥٠٠ غرام,4.0
327,توفو -حلاوة التوفي الأصلية ١٩.٢ غرام,0.0
328,بيبسي ١٥*١٥٠ مل,25.0
329,فرشلي - بودرة البصل ٨٥ غرام,8.0
330,مكفتيز دايجستف - بسكويت بكريمة الشكولاتة ١٦*٤٤ غرام,16.0
331,لامب وستون - بطاطس أصلية مجمدة ١ كغم,9.0
332,فلوريدا ناتشورال - عصير بنكهة البرتقال والاناناس ١.٨ لتر,19.0
333,ميستر كريسبس - بطاطا مقرمشة بنكهة الفلفل ٦٥ غرام,7.0
334,كوبوليفا - زيتون اسود شرائح ٣٦٠ غرام,15.0
335,السنبلة - قواعد بيتزا متوسطة ٣ حبات ٤٩٥ غرام,11.0
336,دريم ويب - مزيج من كريمة التزيين المخفوقة ٧٢ غرام,6.0
337,باطوق للعلك - مستكه طبيعية ٤٠ حبه,15.0
